Country,Region,Supplier_Tier,Industry_Sector,ESG_Score,Environmental_Score,Social_Score,Governance_Score,Carbon_Emission_Intensity,Water_Intensity,Waste_Management_Efficiency,Renewable_Energy_Usage,Compliance_Level,Sustainability_Report_Availability,Lead_Time_Days,Production_Capacity,On_Time_Delivery_Rate,Defect_Rate,Financial_Stability_Score,Cost_Index,Labour_Compliance_Score,Diversity_Index,Supplier_Audit_Score,Incident_History_Count,Logistics_Distance_km,Risk_Classification
USA,North America,1,Agriculture,67.32577091669948,75.70203904561808,100.0,52.44790899961496,0.2297,1038.62,0.78,0.58,1,0,6,46388,0.888887713481669,0.034,78.39855169897378,0.71,62.992552054412776,0.13,58.96,2,4359,Moderate
Indonesia,Asia-Pacific,1,Agriculture,53.72105537970475,67.39202195125434,55.31807727045682,39.82487189400165,0.227,191.49,0.58,0.14,3,0,12,2636,0.8992186613101923,0.029,74.1288990330188,0.79,98.5353510146366,0.63,77.58,1,10789,Moderate
China,South America,2,Electronics,57.04714159551392,47.93592185735182,53.999520657204464,49.791775836038774,0.0367,871.98,0.59,0.35,1,0,11,35205,0.9638051400896095,0.039,31.689761681812882,1.35,75.03458526931551,0.87,62.53,2,4849,Moderate
Japan,Asia-Pacific,2,Electronics,50.371807593320526,32.05956818026153,59.34187505211692,50.23278312513926,0.5682,1082.57,0.93,0.33,1,0,27,23298,0.870149120051135,0.041,58.08320398608416,0.51,93.32062410116808,0.15,62.08,1,5279,Moderate
China,Asia-Pacific,2,Electronics,75.7184947272252,89.0303066823621,89.16634100931573,67.48280322377099,0.7563,733.46,0.58,0.55,1,1,19,42720,0.8663526251415228,0.034,27.71827958225235,0.44,53.19822354351595,0.13,59.69,1,9048,Low
Malaysia,Asia-Pacific,3,Electronics,47.74362560612218,45.98852536809152,48.94930824703875,45.382519916215855,0.4427,742.36,0.35,0.37,2,0,5,13205,0.9196169702417379,0.061,42.779812543915426,0.51,91.45257064838957,0.61,77.59,2,5040,Moderate
USA,Asia-Pacific,2,Agriculture,44.50598520605825,58.37300393699264,44.38561596240904,43.37044234973419,0.8406,1070.44,0.62,0.27,1,0,34,20230,0.9229607577948598,0.046,79.5083842904754,1.1,72.6414506360352,0.3,60.36,2,4226,Moderate
China,Asia-Pacific,2,Agriculture,72.33508457712726,59.4277240838574,77.42330523015657,41.00972559248321,0.8994,1285.76,0.62,0.29,1,0,18,27933,0.9295890398285249,0.037,66.34625897408105,1.61,84.02575902917751,0.32,55.65,0,6357,Moderate
China,Asia-Pacific,3,Electronics,71.31319582589454,21.116997885538805,74.6015119752482,63.192848620078195,0.5199,239.43,0.9,0.56,1,1,41,29810,0.9332490359811568,0.037,68.10414535561864,1.49,68.71442476964002,0.16,70.86,1,8829,Moderate
Brazil,Asia-Pacific,2,Food & Beverage,38.84622667069313,55.68252996820076,37.46227678950496,60.23082870130934,0.5394,835.53,0.69,0.08,2,0,22,42814,0.9032120775570147,0.042,64.09899733843613,1.59,83.53811724034571,0.15,76.77,1,5217,High
China,Asia-Pacific,2,Agriculture,55.65110421272385,64.00294665369421,52.03957871623124,54.35263933333886,0.9579,1302.69,0.71,0.39,1,0,38,23937,0.9451059521225108,0.029,69.90109230759847,0.74,90.95256696237789,0.41,59.91,2,4003,Moderate
Malaysia,Asia-Pacific,2,Metals,71.05514771792808,87.97714836967484,76.6739126227391,56.59223257868955,0.5113,696.2,0.9,0.05,3,0,40,23808,0.9631537317457022,0.042,71.51283886610639,0.2,62.55615573161557,0.2,69.92,2,6316,Moderate
Indonesia,Asia-Pacific,2,Agriculture,60.74313122795635,62.3344751907759,53.254373220994985,49.78558643583634,0.5835,130.17,0.8,0.04,3,0,18,3309,0.9340204057102721,0.032,22.099103935947213,1.06,60.42158498924491,0.38,77.91,1,4401,Moderate
China,Asia-Pacific,2,Chemicals,60.00438965674242,36.95623451921621,50.87303587263033,23.782998865165844,0.171,1352.24,0.8,0.0,1,0,7,12397,0.837793226824409,0.023,77.70515056062854,1.5,76.16686813678936,0.14,78.97,2,6206,Moderate
Japan,Asia-Pacific,3,Agriculture,62.645128854051904,57.99540151525689,40.80715263730536,59.084787542817914,0.1855,1359.92,0.61,0.6,2,0,8,27383,0.9520663931751868,0.068,69.88877253154794,1.52,92.77261167334676,0.9,66.19,1,2979,Moderate
Brazil,South America,1,Electronics,61.62508732112642,51.0411883006231,53.05974366198638,71.35247737127139,0.1163,188.06,0.66,0.34,1,0,16,12550,0.8657723020318524,0.01,32.19785997883065,1.28,87.34276328785018,0.58,82.93,2,7632,Moderate
Brazil,South America,2,Agriculture,80.73407452001295,97.38232293032466,66.3666782974826,40.64339311944515,0.3147,1042.39,0.64,0.54,0,0,37,46369,0.8879244403738372,0.034,96.60900564579191,1.12,74.72327724941599,0.23,81.23,2,9484,Low
USA,North America,2,Agriculture,65.45370286318119,68.42418065878579,41.71892717928735,54.41935240095513,0.2547,91.58,0.56,0.39,1,0,25,25386,0.9341367956053266,0.032,66.25375568966949,1.16,89.83957201824691,0.35,71.62,2,5022,Moderate
Brazil,Asia-Pacific,3,Electronics,71.5424567868449,89.21261945770412,98.08930657292697,91.37491185868765,0.9152,1475.15,0.59,0.76,2,0,29,24922,0.8390505126597652,0.032,33.745654660428215,0.45,81.19431775964578,0.25,72.89,1,8098,Low
Malaysia,Asia-Pacific,3,Agriculture,50.49841336950324,65.29038070144398,40.51465358042297,56.45448775428494,0.8493,953.11,0.79,0.3,1,0,12,38856,0.8888296982853963,0.05,74.33871209964559,1.91,100.0,0.41,62.75,2,1794,Moderate
China,Asia-Pacific,1,Agriculture,59.840395674199556,59.60684710217243,49.42806715481829,62.29564664824938,0.8939,134.41,0.63,0.53,1,1,11,43189,0.9496960540873113,0.032,89.51336110488758,0.87,78.02659251691315,0.86,75.2,0,6403,Moderate
Brazil,Asia-Pacific,3,Agriculture,68.3427843843444,68.90650676523398,56.71462697969327,52.44636380747414,0.9489,882.79,0.91,0.47,3,1,43,24658,0.902468600771506,0.033,53.3557758640925,0.75,100.0,0.84,67.35,0,7739,Low
Brazil,North America,3,Food & Beverage,59.14719007966129,42.066317346760826,47.36114121381644,52.21147022114326,0.4673,912.64,0.61,0.28,0,1,8,49297,0.9379055691728397,0.061,73.39270880271056,0.24,99.12679375600501,0.61,69.26,0,7282,Moderate
