Country,Region,Supplier_Tier,Industry_Sector,ESG_Score,Environmental_Score,Social_Score,Governance_Score,Carbon_Emission_Intensity,Water_Intensity,Waste_Management_Efficiency,Renewable_Energy_Usage,Compliance_Level,Sustainability_Report_Availability,Lead_Time_Days,Production_Capacity,On_Time_Delivery_Rate,Defect_Rate,Financial_Stability_Score,Cost_Index,Labour_Compliance_Score,Diversity_Index,Supplier_Audit_Score,Incident_History_Count,Logistics_Distance_km,Risk_Classification
India,Asia-Pacific,3,Food & Beverage,66.1090630863799,52.06895701843323,48.25155485798367,51.74036558403797,0.7714,927.4,0.8,0.34,0,0,24,41635,0.8611565013390613,0.017,44.44783855058521,0.26,73.76309128652287,0.73,46.73,1,5208,Moderate
usa,Asia-Pacific,2,Agriculture,51.426747526730956,37.38283776754885,40.85185791963687,54.4886700319281,0.5221,1338.89,0.41,0.38,0,0,6,45002,0.9338804576620595,0.031,71.7368905507022,1.17,86.5223169482135,0.33,87.42,2,9041,Low
India,Asia-Pacific,3,Electronics,75.45138711595337,87.87830655058887,89.75697483368789,85.66617257495435,0.736,525.95,0.64,0.17,1,0,15,15272,0.939994182616309,0.023,39.309063313171215,1.23,71.93342770098339,0.73,92.82,1,8978,Low
Indonesia,Asia-Pacific,1,Electronics,80.33699903058154,60.25131606496247,100.0,53.348070296829555,0.6046,608.75,0.45,0.44,2,0,30,13388,0.935099384049738,0.039,73.41923028808259,1.2,65.79936040988015,0.32,73.09,1,6655,Low
USA,Asia-Pacific,3,Metals,54.827430711179545,62.9138634725013,85.52840565715677,54.796848685229484,0.7472,1016.58,0.79,0.48,1,0,31,3226,0.9118162450039157,0.057,79.28347479921231,0.39,85.78095654778068,0.13,67.61,2,6384,Moderate
japan,Asia-Pacific,3,Food & Beverage,75.81285093055453,58.67367860191996,63.357052706499545,61.93806632493353,0.1806,876.26,0.6,0.37,1,0,45,8937,0.848026187839426,0.046,47.61176255889137,0.93,87.7461338748369,0.85,75.7,0,9133,Low
USA,Asia-Pacific,2,Agriculture,76.24324929352844,65.0831508488858,56.20060030442688,55.28049356606176,0.2476,1018.1,0.77,0.35,1,0,41,8335,0.9452843850743325,0.066,78.50457160272325,1.42,87.87879972920808,0.27,92.81,1,2423,Moderate
China,Asia-Pacific,2,Agriculture,55.66326225553018,64.97970520633346,58.723253799376984,67.3463198513053,0.8614,128.12,0.53,0.3,1,0,19,39028,0.8696781928217379,0.051,72.25047113568804,1.19,88.70036179065792,0.18,81.2,2,6408,Moderate
Brazil,South America,2,Agriculture,47.64292462299363,17.78223404289212,37.422647125618035,21.097920249292102,0.5226,479.61,0.62,0.43,1,0,8,37276,0.9108781448401596,0.055,37.0191743797304,0.72,84.13983316522987,0.65,63.36,4,1731,High
Japan,Asia-Pacific,3,Agriculture,62.72608983106825,88.50805901794278,95.31016207565912,77.39714864294565,0.1731,992.09,0.56,0.5,0,0,34,32974,0.954223877733663,0.059,68.3895229914344,1.71,99.92267741787582,0.31,61.32,0,5531,Low
