Country,Region,Supplier_Tier,Industry_Sector,ESG_Score,Environmental_Score,Social_Score,Governance_Score,Carbon_Emission_Intensity,Water_Intensity,Waste_Management_Efficiency,Renewable_Energy_Usage,Compliance_Level,Sustainability_Report_Availability,Lead_Time_Days,Production_Capacity,On_Time_Delivery_Rate,Defect_Rate,Financial_Stability_Score,Cost_Index,Labour_Compliance_Score,Diversity_Index,Supplier_Audit_Score,Incident_History_Count,Logistics_Distance_km,Risk_Classification
Brazil,South America,2,Agriculture,51.067752384779276,43.97258511812928,66.46061548540939,48.870459218878196,0.8622,126.01,0.55,0.5,2,0,41,35079,0.8579491671824026,0.046,74.07676576873655,0.76,60.883159260132416,0.56,80.36,1,11423,Moderate
Japan,Asia-Pacific,3,Agriculture,64.56486895178271,58.34747396147415,74.08343118867016,59.48120419180191,0.8388,222.98,0.61,0.6,2,0,9,46891,0.8695960068435322,0.031,67.31812491026328,0.69,56.286854034375125,0.72,81.04,1,10823,Low
Japan,Asia-Pacific,3,Agriculture,64.56696575009887,50.10901061516924,74.18163120983714,58.16242536342922,0.8383,1378.31,0.75,0.54,2,0,10,46271,0.9025445810858483,0.019,71.70975580659004,0.9,88.13594499438747,0.74,75.2,1,11487,Low
Japan,Asia-Pacific,3,Agriculture,65.81174122605488,69.75125250805313,66.22596080680039,61.714016017252675,0.2328,172.68,0.68,0.47,2,0,16,31529,0.8779080176886026,0.021,72.04473078062986,1.42,82.4473067793465,0.77,78.13,1,9321,Moderate
China,Asia-Pacific,3,Agriculture,82.35875973420346,95.69366584185374,94.70604440193785,83.07196960551907,0.1841,191.46,0.42,0.48,1,0,43,6718,0.9172084357486247,0.041,63.901898763619855,0.68,77.8933750146783,0.76,76.75,0,10459,Low
Brazil,South America,2,Agriculture,69.11610686640101,58.80525175937071,61.88836704577283,74.51326146615368,0.5241,127.99,0.6,0.52,2,0,37,31487,0.858555220451088,0.021,73.90371869224124,1.14,65.20522041639641,0.6,72.17,1,916,Low
Malaysia,Asia-Pacific,2,Agriculture,54.74156730876494,57.29370812895743,65.5333425097694,52.69030112126573,0.7648,1301.64,0.56,0.7,3,0,39,47872,0.900285774912467,0.039,80.46187947379593,0.61,77.55740426433182,0.75,78.06,1,919,Moderate
Malaysia,Asia-Pacific,2,Agriculture,67.21718895396666,67.9143633678446,70.81911422922698,64.31236708794299,0.9539,237.38,0.43,0.62,0,0,42,26772,0.8697462377910252,0.034,68.83582447270462,0.91,84.59708600467272,0.75,82.7,1,10771,Low
USA,North America,1,Agriculture,65.27146686401852,45.63470010924235,66.65430696985916,59.61488940063435,0.0886,359.52,0.63,0.44,2,1,37,44524,0.9296776360602576,0.027,78.71447528693562,1.09,66.87845139680132,0.76,74.3,2,8109,Moderate
Japan,Asia-Pacific,3,Agriculture,63.15928172799239,54.84993685692434,71.5978464238391,63.18200376672469,0.8149,117.03,0.8,0.43,0,0,16,29674,0.84342117104051,0.025,67.11744756015398,1.05,82.79135190219264,0.77,74.73,1,10702,Moderate
USA,South America,2,Agriculture,65.8694819263725,53.3751432664859,65.38427602483769,59.6296317427474,0.5865,50.19,0.53,0.3,2,0,44,25398,0.9529971217682064,0.034,75.33259575953579,0.92,62.75547154796155,0.57,71.95,1,9364,Moderate
China,Asia-Pacific,1,Agriculture,77.70829757915457,64.70318273121667,90.79133986568533,80.02566089306683,0.8264,297.96,0.46,0.46,3,0,44,11352,0.8856421598109834,0.032,64.72556966012482,0.84,89.9562306772115,0.75,74.12,1,11005,Low
China,Asia-Pacific,1,Agriculture,48.66341951396163,62.943502520869735,49.00634332011469,52.37340354304215,0.7339,278.0,0.79,0.35,1,1,14,12050,0.8965364342875329,0.038,73.56523030632451,1.04,90.46202183065733,0.73,85.68,1,8862,Moderate
Brazil,South America,2,Agriculture,42.06288724750346,23.233402055119427,57.340277158683335,56.13099133173398,0.8976,1139.65,0.6,0.58,2,0,43,32944,0.9040672831917541,0.039,72.19815134186655,0.69,66.45948895812322,0.71,73.38,0,1263,Moderate
Malaysia,Asia-Pacific,3,Agriculture,60.19833656864891,47.978492769291535,64.68608384249112,52.31269094696207,0.8951,250.85,0.78,0.57,2,0,8,25190,0.8912887260117991,0.051,71.68788625835636,0.8,79.25992135135768,0.44,81.82,1,11159,Moderate
Brazil,South America,2,Agriculture,57.35869527795486,61.256709225524624,63.85255258136842,62.27743918237565,0.8511,207.01,0.6,0.23,2,0,44,29321,0.9237371344207855,0.015,87.41346405650411,0.87,64.19741388431957,0.8,70.06,1,6939,Moderate
Brazil,South America,2,Agriculture,62.56412594518081,54.14998451121445,66.31033330615519,66.06327599520537,0.7034,139.67,0.5,0.51,2,1,43,30435,0.8755626622692114,0.035,73.05544506414334,1.32,80.52636536390102,0.68,87.69,1,10491,Moderate
China,Asia-Pacific,2,Agriculture,62.20810050302268,59.285330184942985,79.43516504654714,65.40177584294752,0.1087,790.75,0.58,0.57,3,1,44,15035,0.9249533650535484,0.021,76.67992669002835,0.71,84.70140235685571,0.68,81.88,1,10424,Moderate
Japan,Asia-Pacific,1,Agriculture,67.44218289606964,90.58762711214199,84.51721754330642,65.78350614724464,0.7256,119.44,0.59,0.42,1,0,15,11052,0.8997578665162884,0.027,60.88397743914328,1.18,73.99450151628149,0.66,82.83,1,10471,Low
Malaysia,Asia-Pacific,2,Agriculture,69.63480819349134,57.77025339858597,65.29063324361752,67.91104799145492,0.8925,204.4,0.58,0.55,2,0,42,30531,0.8556362231398471,0.039,70.42839007433736,1.27,76.76020825347356,0.54,87.79,1,11394,Moderate
Japan,Asia-Pacific,3,Agriculture,56.21944259341394,42.85392024151536,57.33358243716427,51.941188846603026,0.9269,1092.77,0.75,0.6,2,0,20,48165,0.8493502860680313,0.044,69.16375372977544,0.71,82.8068164603512,0.76,76.27,1,11999,Moderate
Japan,Asia-Pacific,2,Agriculture,55.46238443068695,41.90938740518559,54.849360963337574,49.656927011412364,0.9043,625.66,0.54,0.55,2,0,42,28632,0.8752924923036435,0.023,69.35802386285728,0.65,76.33349029130159,0.7,84.42,1,11124,Moderate
India,Asia-Pacific,3,Agriculture,78.09452893125102,93.64072915001029,80.87103841748936,89.29765365985509,0.767,301.2,0.45,0.51,3,0,41,20760,0.9161512099016142,0.02,55.71526963517215,0.95,60.08586217038147,0.73,71.92,0,9046,Low
India,Asia-Pacific,3,Agriculture,68.68201585473766,58.05102104636117,75.60554607444192,66.42411882003675,0.8733,197.28,0.71,0.4,0,0,49,35461,0.8625373561602396,0.022,72.39722112502545,0.87,64.44869343164713,0.8,80.62,1,10707,Moderate
China,Asia-Pacific,2,Agriculture,61.09364861291639,58.95062006592801,65.4815207741907,48.71428558147644,0.8723,455.02,0.53,0.73,2,1,40,42031,0.9203576118577196,0.019,79.10398203380726,0.91,82.20348816029541,0.72,71.55,1,9389,Moderate
USA,North America,2,Agriculture,41.90151660635735,29.313355377201084,42.45060321542572,36.769855664737335,0.218,413.17,0.48,0.32,1,0,43,15088,0.9465423533473066,0.041,77.53167379657282,1.29,76.39259005357084,0.7,74.89,1,1391,Moderate
Malaysia,Asia-Pacific,2,Agriculture,52.70885736927351,53.17048650213066,59.22517773264798,52.56297315128857,0.9128,127.74,0.59,0.49,2,0,43,31504,0.8391258427284416,0.03,70.5195498417286,0.83,87.13652899743536,0.71,78.11,1,10043,Moderate
Malaysia,Asia-Pacific,2,Agriculture,66.65823277947078,85.27342133485739,69.10734709508607,71.00797915017375,0.7789,1463.83,0.63,0.49,2,0,8,45177,0.8396246414107099,0.033,73.62660815498216,0.7,58.2159140754661,0.75,77.81,1,9098,Low
Brazil,South America,1,Agriculture,69.50395061969544,81.87208624500282,76.4204939636741,73.27632338294806,0.7083,1407.85,0.55,0.52,0,0,43,3133,0.8432532019981632,0.035,69.3211617076852,0.89,66.41468465515739,0.3,67.66,0,10337,Low
China,Asia-Pacific,2,Agriculture,53.5771748650089,51.998470216959674,64.76176624672455,46.2456047262915,0.7545,197.09,0.76,0.42,2,0,11,45457,0.8509234012375777,0.047,73.22673131442278,0.92,76.8319652843345,0.73,74.82,2,10200,Moderate
Malaysia,Asia-Pacific,1,Agriculture,77.44094062794713,84.2455156873921,73.46587474826521,76.77138936493088,0.8371,64.99,0.61,0.46,0,1,41,1003,0.95792654840927,0.03,70.68647525292144,0.65,56.18257077406334,0.69,84.79,0,9826,Low
Brazil,South America,2,Agriculture,51.17022034081668,50.89769696741474,67.08749678338295,46.02257684154046,0.8701,82.98,0.47,0.43,2,0,13,28053,0.825597287709987,0.018,71.29933971322177,1.23,55.082196870192504,0.76,85.71,1,9940,Moderate
Malaysia,Asia-Pacific,2,Agriculture,45.249507070002124,36.02438555625746,50.84817274699273,42.11334402075587,0.822,427.28,0.48,0.62,2,0,42,40426,0.934884949168547,0.019,81.4240197901237,0.9,58.8791036403612,0.74,70.47,0,8437,Moderate
India,Asia-Pacific,3,Agriculture,78.38807121594756,85.72082266165243,82.05875420200775,87.53134589035673,0.121,135.33,0.59,0.6,3,0,40,38306,0.9383393654385281,0.029,73.67026178592737,0.94,80.29467212019473,0.7,75.0,1,8520,Low
China,Asia-Pacific,2,Agriculture,59.916314273673876,63.25381861188789,62.065735560508365,70.70187978928527,0.8035,525.54,0.55,0.16,1,1,39,8331,0.8868767473852283,0.022,74.95203094301417,1.22,73.16702805809513,0.71,84.27,2,1197,Moderate
India,Asia-Pacific,2,Agriculture,48.67236512269032,36.975410772267125,44.25130121361689,51.33672536788055,0.8159,346.76,0.88,0.53,2,0,39,9374,0.9384598733225094,0.029,71.31568611169394,0.51,72.38492327258896,0.81,75.97,0,10631,Moderate
China,Asia-Pacific,1,Agriculture,51.83664030514568,43.00170487150212,53.187704444506515,59.73493299137493,0.665,192.06,0.81,0.34,2,1,14,4381,0.8560558887908716,0.043,62.4756933614474,0.46,83.74256162745881,0.71,70.82,1,9739,Moderate
