Country,Region,Supplier_Tier,Industry_Sector,ESG_Score,Environmental_Score,Social_Score,Governance_Score,Carbon_Emission_Intensity,Water_Intensity,Waste_Management_Efficiency,Renewable_Energy_Usage,Compliance_Level,Sustainability_Report_Availability,Lead_Time_Days,Production_Capacity,On_Time_Delivery_Rate,Defect_Rate,Financial_Stability_Score,Cost_Index,Labour_Compliance_Score,Diversity_Index,Supplier_Audit_Score,Incident_History_Count,Logistics_Distance_km,Risk_Classification
USA,Asia-Pacific,2,Agriculture,58.84815330135072,54.1822968382146,68.18869696185833,56.71238516875763,0.7977,1214.47,0.61,0.5,3,0,36,43140,0.903277229901253,0.02,80.38452354167283,0.62,75.14157297717294,0.61,71.26,2,8819,Moderate
Japan,Asia-Pacific,2,Agriculture,61.29171535079086,67.63568877721733,65.67574191681837,62.97110378800734,0.9166,1290.19,0.59,0.57,2,0,41,37649,0.838975338183476,0.027,65.64393887600531,0.66,70.2193531900446,0.72,77.1,1,11999,Moderate
Malaysia,Asia-Pacific,2,Agriculture,50.202535636123116,25.510385889976256,41.80385015766431,41.57208840685388,0.2032,523.55,0.39,0.5,2,0,42,37059,0.9164228392525274,0.039,85.27621637398144,0.95,73.72929201742971,0.79,71.94,0,7595,Moderate
India,Asia-Pacific,3,Agriculture,74.85062954372084,93.19337062875076,76.4557764464959,83.94753270215917,0.7581,381.58,0.44,0.51,0,1,41,7855,0.9096884275340019,0.036,65.89380767081786,0.71,57.5951489637253,0.82,62.27,0,10232,Low
Japan,Asia-Pacific,2,Agriculture,60.41846318531986,54.89665445255896,62.631898257297046,58.3451281108973,0.7865,50.19,0.58,0.51,2,1,11,9080,0.8264746091439326,0.035,65.7009000086092,0.71,73.9055839012534,0.67,78.28,1,10168,Moderate
Malaysia,Asia-Pacific,2,Agriculture,66.27171635867676,61.13646124150991,66.6945266034757,62.16966726345926,0.9021,53.48,0.61,0.49,2,0,12,28867,0.8281004760901018,0.022,62.626872773292234,0.67,78.67169276783711,0.52,81.06,2,11465,Moderate
China,Asia-Pacific,3,Agriculture,62.33163902556684,38.57076248998664,46.15191244526413,37.34385610123093,0.1947,296.89,0.53,0.46,1,1,41,10773,0.9046631018855781,0.026,71.3618579044967,0.45,86.54694201858085,0.61,72.91,1,8456,Moderate
China,Asia-Pacific,2,Agriculture,68.3571155369455,62.36466577735984,72.69295795756217,72.69288034392552,0.8215,308.87,0.56,0.53,1,1,47,4893,0.9464178838268026,0.015,72.72841324745524,0.48,90.64867928678109,0.75,72.28,1,9932,Moderate
Japan,Asia-Pacific,2,Agriculture,64.94629939529395,76.34057333329761,65.88011272524788,74.55039034599702,0.6805,1093.25,0.75,0.37,0,0,10,11213,0.8786086358695191,0.034,61.34246359771393,0.8,76.15767087680922,0.64,83.52,1,9166,Moderate
Malaysia,Asia-Pacific,2,Agriculture,64.4538614322429,54.49630806015365,72.9644525354026,64.75142282309174,0.8695,1029.91,0.84,0.4,2,0,9,45031,0.856069141930352,0.03,73.67874273400244,0.82,78.57047863920197,0.78,77.42,1,10196,Moderate
China,Asia-Pacific,2,Agriculture,61.50988080937958,49.74507450056447,52.01388194905781,41.9638781319105,0.7421,389.79,0.56,0.43,2,0,10,35008,0.9176802811840867,0.028,65.00648619103426,0.44,73.37543851382188,0.67,79.51,1,9680,Moderate
Japan,Asia-Pacific,3,Agriculture,63.88902324125507,60.50895712169722,68.2441422717205,60.32262703959121,0.8308,1399.33,0.77,0.46,2,0,13,2955,0.8966428792783253,0.03,66.83814958312274,0.6,64.67204460542156,0.63,84.92,1,10965,Moderate
Japan,Asia-Pacific,2,Agriculture,59.423627233545986,54.951064846049135,70.41764008141787,61.519890912991464,0.6937,159.01,0.75,0.48,2,0,13,24873,0.8588004010944591,0.033,67.48745984900744,0.68,70.30086118499332,0.7,79.32,1,10650,Moderate
Malaysia,Asia-Pacific,1,Agriculture,69.82784780478343,74.91803887931884,81.27026663570717,77.99271421032398,0.745,1280.83,0.63,0.6,2,0,41,13779,0.89460628983025,0.034,66.9748929300467,0.6,63.96682008375347,0.75,72.54,1,8985,Low
